;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;43938
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;42746
3;Коллегиальные органы управления;42213
4;в том числе:       общее собрание;34602
5;педагогический совет;41475
6;попечительский совет;5624
7;управляющий совет;19431
8;наблюдательный совет;3794
9;другие;9108
10;Советы обучающихся;32406
11;Советы родителей;32976
12;Профессиональные союзы работников;36028
13;из строки 03 с участием общественности (родителей, работодателей);31597
