;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10, 13);Численность обучающихся по программам начального общего образования – всего;Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-го класса или 1-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам основного общего образования – всего;Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-го класса или 5-го класса первого года обучения  по пролонги- рованным программам;Численность обучающихся по программам среднего общего образования – всего;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-го класса  или 10-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями);Численность обучающихся по программам из графы 13 девочки;Численность обучающихся по программам из графы 13 обучающиеся первого года обучения;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 17) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;3950;534;168;163;356;133;48;12;5;7;3048;1007;192;263;1;1;
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;;;;;;;;;
3;6 лет;1;;;;;;;;;;1;1;1;;;;
4;7 лет;80;45;16;43;;;;;;;35;14;28;2;;;
5;8 лет;284;131;42;82;;;;;;;153;50;111;9;;;
6;9 лет;339;96;32;29;;;;;;;243;70;40;18;;;
7;10 лет;368;96;24;6;2;1;;;;;270;79;7;15;;;
8;11 лет;396;92;28;3;17;6;17;;;;287;114;3;27;;;
9;12 лет;435;52;19;;48;15;18;;;;335;108;1;28;;;
10;13 лет;452;17;6;;65;27;11;;;;370;136;;27;;;
11;14 лет;471;1;;;47;18;;;;;423;132;;25;;;
12;15 лет;492;;;;58;18;1;1;;1;433;150;;34;1;1;
13;16 лет;320;;;;74;32;;2;;2;244;71;;35;;;
14;17 лет;153;;;;32;13;;5;3;4;116;40;1;27;;;
15;18 лет;39;;;;11;2;;4;2;;24;11;;6;;;
16;19 лет;19;;;;;;;;;;19;6;;2;;;
17;20 лет;25;1;1;;1;;;;;;23;5;;6;;;
18;21 год;13;;;;;;;;;;13;;;;;;
19;22 года;3;;;;;;;;;;3;;;1;;;
20;23 года;5;;;;;;;;;;5;1;;;;;
21;24 года;5;;;;;;;;;;5;2;;1;;;
22;25 лет;2;;;;;;;;;;2;;;;;;
23;26 лет;3;;;;;;;;;;3;1;;;;;
24;27 лет;3;;;;;;;;;;3;;;;;;
25;28 лет;4;;;;;;;;;;4;2;;;;;
26;29 лет;4;;;;;;;;;;4;;;;;;
27;30–34 года;16;2;;;1;1;1;;;;13;6;;;;;
28;35–39 лет;16;1;;;;;;;;;15;7;;;;;
29;40 лет и старше;2;;;;;;;;;;2;1;;;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
