;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;909
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;862
3;Коллегиальные органы управления;863
4;в том числе:       общее собрание;687
5;педагогический совет;844
6;попечительский совет;117
7;управляющий совет;499
8;наблюдательный совет;312
9;другие;81
10;Советы обучающихся;773
11;Советы родителей;743
12;Профессиональные союзы работников;792
13;из строки 03 с участием общественности (родителей, работодателей);578
14;Организация реализует профориентационный минимум;730
15;в том числе:       на базовом уровне;618
16;на основном уровне;115
17;на продвинутом уровне;35
