;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);17982;6522;7754;3262;115;88;55;186;569;17482;482;18
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;611;356;173;26;20;11;;25;12;610;1;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;289;151;97;2;15;4;;20;;289;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;218;199;17;2;;;;;;218;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;14460;6009;6972;1244;92;35;13;95;179;14279;180;1
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;719;200;367;139;3;2;;8;;715;4;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;46;24;17;5;;;;;;46;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;1115;1;139;946;;27;2;;93;1093;19;3
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;604;;117;485;;2;;;2;584;17;3
10;в связи с переходом на семейное образование и самообразование;400;77;143;163;1;1;;15;3;327;67;6
11;по болезни;2;;2;;;;;;;2;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;37;;27;10;;;;;5;36;1;
13;выбыло по другим причинам;753;79;181;388;2;12;40;51;275;551;197;5
