;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;320
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;311
3;Коллегиальные органы управления;319
4;в том числе:       общее собрание;310
5;педагогический совет;319
6;попечительский совет;20
7;управляющий совет;290
8;наблюдательный совет;58
9;другие;46
10;Советы обучающихся;264
11;Советы родителей;245
12;Профессиональные союзы работников;252
13;из строки 03 с участием общественности (родителей, работодателей);292
14;Организация реализует профориентационный минимум;297
15;в том числе:       на базовом уровне;71
16;на основном уровне;43
17;на продвинутом уровне;195
