;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Всего (сумма граф 4 – 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 06);232070;23589;24725;25493;24851;25104;23442;22975;21935;20555;10431;8927;38;5
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05);231628;23564;24702;25473;24837;25085;23429;22945;21916;20456;10325;8853;38;5
3;в том числе обучались:       очно;231161;23564;24700;25473;24836;25085;23416;22929;21897;20399;10090;8756;14;2
4;очно-заочно;418;;1;;;;11;13;14;43;218;91;24;3
5;заочно;49;;1;;1;;2;3;5;14;17;6;;
6;Численность экстернов, окончивших данный класс;442;25;23;20;14;19;13;30;19;99;106;74;;
7;из них (из стр.06)  обучались:       в форме семейного образования;277;25;23;20;14;19;13;30;19;97;7;10;;
8;в форме самообразования;157;;;;;;;;;;99;58;;
9;по программам, не имеющим государственной аккредитации;2;;;;;;;;;;;2;;
