;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;281;18;18;31;37;27;35;28;38;37;2;10;;;;;;;;
2;В них обучающихся (всего), чел.;5915;414;415;636;905;553;722;531;729;747;70;193;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;;;;;;;;;;;;;;;;;;;;
4;слабослышащие;8;;2;1;2;;;;1;1;;1;;;;5;;8;;
5;позднооглохшие;;;;;;;;;;;;;;;;;;;;
6;слепые;;;;;;;;;;;;;;;;;;;;
7;слабовидящие;5;1;;;1;1;1;1;;;;;;;;4;;5;;
8;с тяжелыми нарушениями речи;4;2;;1;;;;1;;;;;;;;2;;4;;
9;с нарушением опорно-двигательного аппарата;18;1;1;1;;1;3;1;4;3;;3;;;1;17;;18;;
10;с задержкой психического развития;344;17;5;24;42;35;41;43;59;78;;;;;1;13;1;344;;
11;с умственной отсталостью (интеллектуальными          нарушениями);35;2;2;4;2;4;6;3;8;3;;1;;;;13;;35;;
12;с расстройствами аутистического спектра;6;1;2;;;1;;1;1;;;;;;;5;;6;;
13;со сложными дефектами;3;1;1;;;;;;;1;;;;;;3;2;3;;
14;с иными ограниченными возможностями          здоровья;93;7;10;13;12;9;4;5;14;12;2;5;;;3;69;;83;10;
