;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);1488;410;830;207;8;12;;21;35;1376;112;
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;83;1;67;12;;;;3;15;38;45;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;17;;17;;;;;;;17;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;1;1;;;;;;;;1;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;977;384;498;60;8;12;;15;7;974;3;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;70;22;41;7;;;;;;70;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;54;15;39;;;;;;1;54;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;184;;132;52;;;;;;182;2;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;30;;9;21;;;;;2;30;;
10;в связи с переходом на семейное образование и самообразование;16;1;13;;;;;2;;16;;
11;по болезни;;;;;;;;;;;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;61;;52;8;;;;1;10;38;23;
13;выбыло по другим причинам;137;24;59;54;;;;;1;98;39;
