;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;54
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;51
3;Коллегиальные органы управления;47
4;в том числе:       общее собрание;34
5;педагогический совет;45
6;попечительский совет;5
7;управляющий совет;10
8;наблюдательный совет;12
9;другие;8
10;Советы обучающихся;38
11;Советы родителей;35
12;Профессиональные союзы работников;22
13;из строки 03 с участием общественности (родителей, работодателей);25
14;Организация реализует профориентационный минимум;32
15;в том числе:       на базовом уровне;27
16;на основном уровне;7
17;на продвинутом уровне;1
