;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;72
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;69
3;Коллегиальные органы управления;67
4;в том числе:       общее собрание;52
5;педагогический совет;63
6;попечительский совет;3
7;управляющий совет;49
8;наблюдательный совет;2
9;другие;4
10;Советы обучающихся;49
11;Советы родителей;53
12;Профессиональные союзы работников;19
13;из строки 03 с участием общественности (родителей, работодателей);48
14;Организация реализует профориентационный минимум;51
15;в том числе:       на базовом уровне;33
16;на основном уровне;17
17;на продвинутом уровне;1
