;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;7101;636;764;881;903;625;748;824;830;879;4;7;;;;;;;;
2;В них обучающихся (всего), чел.;161827;14504;18277;20886;20950;14005;17113;18113;18369;19212;175;223;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;;;;;;;;;;;;;;;;;;;;
4;слабослышащие;68;11;7;5;7;5;9;9;10;4;;1;;;;41;;68;;
5;позднооглохшие;6;1;;;;1;1;;1;2;;;;;;4;;6;;
6;слепые;3;;;;;;1;;1;1;;;;;1;2;1;3;;
7;слабовидящие;118;10;17;26;12;3;15;14;10;11;;;;;;49;1;118;;
8;с тяжелыми нарушениями речи;582;99;116;142;126;15;25;25;16;18;;;;;;20;;582;;
9;с нарушением опорно-двигательного аппарата;248;27;28;35;32;20;29;25;24;24;3;1;;;1;210;7;241;;7
10;с задержкой психического развития;15031;1015;1276;1579;1872;1136;1489;1933;2163;2558;4;6;;;1;214;2;14961;57;13
11;с умственной отсталостью (интеллектуальными          нарушениями);679;36;40;77;87;80;77;97;89;95;1;;;;8;158;;669;1;9
12;с расстройствами аутистического спектра;123;35;17;15;11;13;12;6;9;3;;2;;;1;64;5;122;;1
13;со сложными дефектами;21;2;1;1;3;2;1;3;5;3;;;;;3;18;;19;;2
14;с иными ограниченными возможностями          здоровья;2;;;;;;;;;;;2;;;;1;;2;;
