;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;221
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;211
3;Коллегиальные органы управления;212
4;в том числе:       общее собрание;144
5;педагогический совет;206
6;попечительский совет;25
7;управляющий совет;42
8;наблюдательный совет;10
9;другие;38
10;Советы обучающихся;143
11;Советы родителей;166
12;Профессиональные союзы работников;163
13;из строки 03 с участием общественности (родителей, работодателей);115
14;Организация реализует профориентационный минимум;148
15;в том числе:       на базовом уровне;110
16;на основном уровне;36
17;на продвинутом уровне;14
