;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);4544;1273;2414;613;85;84;;75;112;4469;61;14
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;102;26;58;2;14;2;;;;102;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;23;;23;;;;;;;23;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;3521;1213;1899;249;68;49;;43;14;3519;1;1
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;160;35;70;23;9;15;;8;;160;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;14;12;2;;;;;;;14;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;340;5;183;123;;29;;;2;337;;3
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;81;;29;52;;;;;3;81;;
10;в связи с переходом на семейное образование и самообразование;161;26;103;23;3;2;;4;1;155;3;3
11;по болезни;1;;;1;;;;;;1;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;143;;97;45;;;;1;8;136;3;4
13;выбыло по другим причинам;195;3;45;118;;2;;27;84;138;54;3
