;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;354
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;347
3;Коллегиальные органы управления;345
4;в том числе:       общее собрание;313
5;педагогический совет;341
6;попечительский совет;35
7;управляющий совет;255
8;наблюдательный совет;13
9;другие;46
10;Советы обучающихся;317
11;Советы родителей;319
12;Профессиональные союзы работников;332
13;из строки 03 с участием общественности (родителей, работодателей);226
14;Организация реализует профориентационный минимум;295
15;в том числе:       на базовом уровне;219
16;на основном уровне;92
17;на продвинутом уровне;13
