;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;1538
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;1488
3;Коллегиальные органы управления;1425
4;в том числе:       общее собрание;1336
5;педагогический совет;1413
6;попечительский совет;58
7;управляющий совет;56
8;наблюдательный совет;64
9;другие;145
10;Советы обучающихся;1179
11;Советы родителей;1245
12;Профессиональные союзы работников;1309
13;из строки 03 с участием общественности (родителей, работодателей);916
14;Организация реализует профориентационный минимум;1276
15;в том числе:       на базовом уровне;740
16;на основном уровне;540
17;на продвинутом уровне;67
