;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;3667;323;387;406;514;356;409;418;394;388;37;35;;;;;;;;
2;В них обучающихся (всего), чел.;78816;6737;8631;9302;11486;7766;8843;8656;8053;8006;723;613;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;23;3;3;1;3;4;2;3;1;3;;;;;;21;;23;;
4;слабослышащие;146;17;12;16;19;9;24;11;17;16;2;3;;;2;116;;146;;
5;позднооглохшие;4;;;;;;1;;2;1;;;;;;3;;4;;
6;слепые;2;;;;;;;;;1;1;;;;;2;;2;;
7;слабовидящие;195;18;22;13;30;21;21;31;18;15;3;3;;;1;128;1;195;;
8;с тяжелыми нарушениями речи;299;55;56;45;51;17;23;13;17;21;1;;;;;68;;299;;
9;с нарушением опорно-двигательного аппарата;566;41;73;65;64;47;57;58;66;70;12;13;;;8;487;11;560;4;2
10;с задержкой психического развития;2130;164;171;260;323;213;237;259;255;248;;;;;5;252;4;2128;2;
11;с умственной отсталостью (интеллектуальными          нарушениями);672;38;47;69;91;98;91;107;63;68;;;;;8;298;;672;;
12;с расстройствами аутистического спектра;463;111;75;74;67;33;24;35;20;20;2;2;;;;343;9;463;;
13;со сложными дефектами;41;3;4;2;6;2;5;12;2;4;1;;;;;40;1;41;;
14;с иными ограниченными возможностями          здоровья;519;41;43;50;65;61;57;51;59;58;18;16;;;4;404;1;515;1;3
