;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);15277;5398;7719;1913;49;21;7;170;333;15043;217;17
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;109;50;42;15;2;;;;2;109;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;20;;20;;;;;;;20;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;13598;5269;7091;1028;47;9;4;150;73;13568;26;4
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;347;113;183;44;;;;7;;345;2;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;71;21;34;16;;;;;;71;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;591;20;255;306;;7;3;;7;585;6;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;303;;56;247;;;;;8;302;1;
10;в связи с переходом на семейное образование и самообразование;196;45;127;21;;1;;2;;171;14;11
11;по болезни;5;1;1;3;;;;;;5;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;45;;8;37;;;;;7;44;1;
13;выбыло по другим причинам;430;13;139;256;;4;;18;236;259;169;2
