;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;518
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;505
3;Коллегиальные органы управления;514
4;в том числе:       общее собрание;492
5;педагогический совет;513
6;попечительский совет;119
7;управляющий совет;37
8;наблюдательный совет;27
9;другие;58
10;Советы обучающихся;422
11;Советы родителей;398
12;Профессиональные союзы работников;278
13;из строки 03 с участием общественности (родителей, работодателей);197
14;Организация реализует профориентационный минимум;485
15;в том числе:       на базовом уровне;115
16;на основном уровне;257
17;на продвинутом уровне;115
