;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;2689;227;283;302;336;310;315;285;270;297;34;30;;;;;;;;
2;В них обучающихся (всего), чел.;58637;5146;6154;6704;7566;6601;6696;6110;5959;6359;687;655;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;1;;;;;;;1;;;;;;;1;;;1;;
4;слабослышащие;45;4;6;2;3;7;5;5;4;8;;1;;;1;27;1;41;4;
5;позднооглохшие;7;1;1;1;1;;2;1;;;;;;;;5;;7;;
6;слепые;4;2;;1;;;;;;1;;;;;;3;;2;2;
7;слабовидящие;67;5;6;6;5;9;9;10;5;9;2;1;;;4;45;;63;4;
8;с тяжелыми нарушениями речи;202;26;34;31;31;17;20;15;12;15;;1;;;3;38;;199;3;
9;с нарушением опорно-двигательного аппарата;271;20;27;42;31;28;23;28;21;34;8;9;;;9;222;3;253;17;1
10;с задержкой психического развития;1868;87;175;198;301;215;231;216;217;220;5;3;;;3;230;5;1846;21;1
11;с умственной отсталостью (интеллектуальными          нарушениями);869;60;64;91;103;122;122;100;103;103;1;;;;5;315;;828;40;1
12;с расстройствами аутистического спектра;374;62;65;57;34;36;45;25;24;22;2;2;;;3;258;9;358;16;
13;со сложными дефектами;12;2;;;2;2;2;2;1;1;;;;;;9;;11;1;
14;с иными ограниченными возможностями          здоровья;394;34;37;38;42;37;41;38;40;46;20;21;;;15;246;1;372;22;
