;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;456
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;447
3;Коллегиальные органы управления;449
4;в том числе:       общее собрание;400
5;педагогический совет;446
6;попечительский совет;34
7;управляющий совет;112
8;наблюдательный совет;12
9;другие;105
10;Советы обучающихся;373
11;Советы родителей;387
12;Профессиональные союзы работников;381
13;из строки 03 с участием общественности (родителей, работодателей);268
14;Организация реализует профориентационный минимум;394
15;в том числе:       на базовом уровне;254
16;на основном уровне;106
17;на продвинутом уровне;51
