;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;1021;115;113;128;114;90;110;122;103;110;10;6;;;;;;;;
2;В них обучающихся (всего), чел.;16937;1789;1956;2308;2047;1484;1751;1979;1648;1764;139;72;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;;;;;;;;;;;;;;;;;;;;
4;слабослышащие;9;1;;1;2;2;2;1;;;;;;;;7;;9;;
5;позднооглохшие;1;;1;;;;;;;;;;;;;;;1;;
6;слепые;2;;1;1;;;;;;;;;;;;2;;2;;
7;слабовидящие;20;5;;2;3;4;;2;2;2;;;;;1;12;1;20;;
8;с тяжелыми нарушениями речи;23;4;1;3;2;2;3;4;1;3;;;;;;5;;23;;
9;с нарушением опорно-двигательного аппарата;59;17;7;2;11;2;2;4;8;5;;1;;;6;45;;58;;1
10;с задержкой психического развития;574;62;54;82;62;42;66;69;75;61;;1;;;;41;;574;;
11;с умственной отсталостью (интеллектуальными          нарушениями);554;37;59;60;54;70;66;83;56;66;2;1;;;4;148;;553;;1
12;с расстройствами аутистического спектра;142;54;19;21;19;10;5;5;5;2;1;1;;;2;106;1;142;;
13;со сложными дефектами;4;1;;2;1;;;;;;;;;;;4;;4;;
14;с иными ограниченными возможностями          здоровья;103;1;10;15;10;6;13;10;10;14;10;4;;;2;70;;102;;1
