;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);360356;652;;;;418;1
2;Образовательные программы начального общего образования;149984;;;;;60;
3;из них адаптированные;7889;;;;;57;
4;в том числе:           для глухих;50;;;;;;
5;для слабослышащих и позднооглохших;202;;;;;18;
6;для слепых;24;;;;;4;
7;для слабовидящих;170;;;;;15;
8;с тяжелыми нарушениями речи;1803;;;;;;
9;с нарушениями опорно-двигательного аппарата;346;;;;;9;
10;с задержкой психического развития;5034;;;;;7;
11;с расстройствами аутистического спектра;260;;;;;4;
12;Образовательные программы основного общего образования;179859;603;401;;;74;
13;из них адаптированные;9912;46;40;;;65;
14;в том числе:           для глухих;71;;;;;;
15;для слабослышащих и позднооглохших;237;;;;;16;
16;для слепых;24;;;;;3;
17;для слабовидящих;218;1;1;;;12;
18;с тяжелыми нарушениями речи;352;;;;;;
19;с нарушениями опорно-двигательного аппарата;301;1;;;;12;
20;с задержкой психического развития;8640;44;39;;;19;
21;с расстройствами аутистического спектра;69;;;;;3;
22;Образовательные программы среднего общего образования;26019;49;17;;;260;
23;из них адаптированные;32;;;;;1;
24;в том числе:           для глухих;;;;;;;
25;для слабослышащих и позднооглохших;1;;;;;;
26;для слепых;3;;;;;;
27;для слабовидящих;9;;;;;;
28;с тяжелыми нарушениями речи;;;;;;;
29;с нарушениями опорно-двигательного аппарата;18;;;;;1;
30;с задержкой психического развития;;;;;;;
31;с расстройствами аутистического спектра;1;;;;;;
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);4494;;;;;24;1
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);68;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;58;;;;;;
35;основного общего образования (из строки 12);70;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;51;;;;;;
37;среднего общего образования (из строки 22);1;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);16;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;14;;;;;;
