;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;810
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;668
3;Коллегиальные органы управления;675
4;в том числе:       общее собрание;602
5;педагогический совет;672
6;попечительский совет;92
7;управляющий совет;467
8;наблюдательный совет;8
9;другие;94
10;Советы обучающихся;640
11;Советы родителей;586
12;Профессиональные союзы работников;635
13;из строки 03 с участием общественности (родителей, работодателей);566
14;Организация реализует профориентационный минимум;713
15;в том числе:       на базовом уровне;5
16;на основном уровне;466
17;на продвинутом уровне;242
