;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;901
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;856
3;Коллегиальные органы управления;894
4;в том числе:       общее собрание;715
5;педагогический совет;884
6;попечительский совет;156
7;управляющий совет;811
8;наблюдательный совет;169
9;другие;98
10;Советы обучающихся;822
11;Советы родителей;767
12;Профессиональные союзы работников;787
13;из строки 03 с участием общественности (родителей, работодателей);633
14;Организация реализует профориентационный минимум;820
15;в том числе:       на базовом уровне;272
16;на основном уровне;293
17;на продвинутом уровне;389
