;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;5447;651;756;760;773;522;548;468;443;458;42;25;1;;;;;;;
2;В них обучающихся (всего), чел.;123277;15145;17592;18013;17821;11764;11988;10500;9557;9444;835;591;27;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;6;1;;;1;1;;;1;1;1;;;;;5;;6;;
4;слабослышащие;138;15;21;33;15;14;9;9;7;12;1;2;;;3;94;1;138;;
5;позднооглохшие;9;1;1;3;;1;2;;;1;;;;;;2;;9;;
6;слепые;7;;;;3;2;;2;;;;;;;1;6;2;7;;
7;слабовидящие;247;23;24;33;26;28;45;12;15;18;11;12;;;1;86;;247;;
8;с тяжелыми нарушениями речи;1036;180;244;215;179;63;46;42;30;37;;;;;1;65;;1033;3;
9;с нарушением опорно-двигательного аппарата;624;92;115;82;96;56;46;36;39;40;14;8;;;45;423;6;616;7;1
10;с задержкой психического развития;3725;367;481;556;582;351;372;351;329;332;4;;;;58;316;2;3712;12;1
11;с умственной отсталостью (интеллектуальными          нарушениями);764;54;58;72;101;99;114;98;77;87;3;1;;;22;290;;760;4;
12;с расстройствами аутистического спектра;783;197;125;102;113;52;68;52;45;28;;1;;;15;505;22;777;6;
13;со сложными дефектами;17;;1;;2;;9;3;2;;;;;;1;14;;17;;
14;с иными ограниченными возможностями          здоровья;583;48;74;60;66;59;49;55;58;77;23;13;1;;42;383;;582;1;
