;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;537
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;531
3;Коллегиальные органы управления;535
4;в том числе:       общее собрание;469
5;педагогический совет;535
6;попечительский совет;62
7;управляющий совет;300
8;наблюдательный совет;9
9;другие;68
10;Советы обучающихся;457
11;Советы родителей;440
12;Профессиональные союзы работников;469
13;из строки 03 с участием общественности (родителей, работодателей);408
14;Организация реализует профориентационный минимум;515
15;в том числе:       на базовом уровне;308
16;на основном уровне;234
17;на продвинутом уровне;
