;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);17399;5491;7668;4223;9;6;;2;92;17299;94;6
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;68;4;50;14;;;;;;66;2;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;;;;;;;;;;;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;14450;5441;7216;1776;9;6;;2;13;14406;44;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;39;20;13;6;;;;;;39;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;61;18;24;19;;;;;;61;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;720;9;147;564;;;;;30;715;5;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;804;;107;697;;;;;;799;5;
10;в связи с переходом на семейное образование и самообразование;912;33;65;814;;;;;;902;4;6
11;по болезни;7;;2;5;;;;;1;7;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;53;;;53;;;;;;53;;
13;выбыло по другим причинам;385;4;81;300;;;;;48;351;34;
