;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;2210;146;197;240;263;223;270;286;277;257;26;25;;;;;;;;
2;В них обучающихся (всего), чел.;48710;3044;4371;5166;5965;4948;6095;6326;6192;5692;534;377;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;2;;;;;;;;2;;;;;;;2;;2;;
4;слабослышащие;41;2;2;1;4;3;5;6;9;8;1;;;;1;34;;41;;
5;позднооглохшие;;;;;;;;;;;;;;;;;;;;
6;слепые;1;;;;;;;;;1;;;;;;1;;1;;
7;слабовидящие;143;2;7;12;10;9;17;19;17;31;11;8;;;;98;;142;1;
8;с тяжелыми нарушениями речи;151;12;18;23;33;13;16;11;14;10;1;;;;;109;;150;1;
9;с нарушением опорно-двигательного аппарата;595;49;53;75;59;72;65;65;58;76;10;13;;;1;553;2;592;;3
10;с задержкой психического развития;974;56;97;115;136;112;129;120;103;101;4;1;;;;765;7;969;;5
11;с умственной отсталостью (интеллектуальными          нарушениями);437;16;22;29;36;42;65;82;82;62;1;;;;2;401;;434;3;
12;с расстройствами аутистического спектра;194;24;22;21;33;19;21;25;17;11;1;;;;;182;1;192;1;1
13;со сложными дефектами;1;;;;;;1;;;;;;;;;;;1;;
14;с иными ограниченными возможностями          здоровья;342;11;21;17;20;20;31;42;47;89;19;25;;;;289;;342;;
