;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;175
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;174
3;Коллегиальные органы управления;174
4;в том числе:       общее собрание;145
5;педагогический совет;166
6;попечительский совет;3
7;управляющий совет;115
8;наблюдательный совет;2
9;другие;5
10;Советы обучающихся;145
11;Советы родителей;149
12;Профессиональные союзы работников;114
13;из строки 03 с участием общественности (родителей, работодателей);96
14;Организация реализует профориентационный минимум;139
15;в том числе:       на базовом уровне;23
16;на основном уровне;105
17;на продвинутом уровне;11
