;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;1002;76;73;100;114;91;138;135;131;137;4;3;;;;;;;;
2;В них обучающихся (всего), чел.;16463;1295;1219;1721;1790;1646;2377;2286;1896;2102;95;36;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;;;;;;;;;;;;;;;;;;;;
4;слабослышащие;18;2;2;1;1;;6;3;3;;;;;;;12;;18;;
5;позднооглохшие;;;;;;;;;;;;;;;;;;;;
6;слепые;1;;;;;;;;;;1;;;;;1;;1;;
7;слабовидящие;70;6;11;8;8;1;10;11;11;2;;2;;;;30;;70;;
8;с тяжелыми нарушениями речи;249;40;38;43;52;10;20;21;14;11;;;;;;25;;249;;
9;с нарушением опорно-двигательного аппарата;63;12;7;;6;8;10;3;6;9;1;1;;;;53;;63;;
10;с задержкой психического развития;1052;33;32;82;92;82;144;165;191;231;;;;;;18;;1052;;
11;с умственной отсталостью (интеллектуальными          нарушениями);461;21;26;42;48;57;72;80;50;64;1;;;;1;245;;461;;
12;с расстройствами аутистического спектра;60;20;4;4;9;5;6;6;2;1;1;2;;;;55;;60;;
13;со сложными дефектами;;;;;;;;;;;;;;;;;;;;
14;с иными ограниченными возможностями          здоровья;;;;;;;;;;;;;;;;;;;;
