;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10, 13);Численность обучающихся по программам начального общего образования – всего;Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-го класса или 1-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам основного общего образования – всего;Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-го класса или 5-го класса первого года обучения  по пролонги- рованным программам;Численность обучающихся по программам среднего общего образования – всего;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-го класса  или 10-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями);Численность обучающихся по программам из графы 13 девочки;Численность обучающихся по программам из графы 13 обучающиеся первого года обучения;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 17) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;1103;345;121;67;261;79;50;;;;497;170;21;54;1;;
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;;;;;;;;;
3;6 лет;1;1;1;1;;;;;;;;;;;;;
4;7 лет;47;41;13;32;;;;;;;6;2;6;1;;;
5;8 лет;89;61;18;32;;;;;;;28;12;13;;;;
6;9 лет;91;75;29;2;;;;;;;16;8;2;2;;;
7;10 лет;140;84;31;;1;;1;;;;55;21;;9;;;
8;11 лет;121;56;21;;8;5;6;;;;57;17;;4;;;
9;12 лет;111;20;6;;39;11;31;;;;52;11;;7;;;
10;13 лет;132;5;2;;66;17;10;;;;61;20;;6;1;;
11;14 лет;115;1;;;46;16;1;;;;68;18;;9;;;
12;15 лет;105;1;;;49;17;1;;;;55;18;;4;;;
13;16 лет;89;;;;31;7;;;;;58;25;;5;;;
14;17 лет;39;;;;15;3;;;;;24;9;;3;;;
15;18 лет;17;;;;3;2;;;;;14;9;;1;;;
16;19 лет;4;;;;2;;;;;;2;;;2;;;
17;20 лет;1;;;;1;1;;;;;;;;;;;
18;21 год;;;;;;;;;;;;;;;;;
19;22 года;1;;;;;;;;;;1;;;1;;;
20;23 года;;;;;;;;;;;;;;;;;
21;24 года;;;;;;;;;;;;;;;;;
22;25 лет;;;;;;;;;;;;;;;;;
23;26 лет;;;;;;;;;;;;;;;;;
24;27 лет;;;;;;;;;;;;;;;;;
25;28 лет;;;;;;;;;;;;;;;;;
26;29 лет;;;;;;;;;;;;;;;;;
27;30–34 года;;;;;;;;;;;;;;;;;
28;35–39 лет;;;;;;;;;;;;;;;;;
29;40 лет и старше;;;;;;;;;;;;;;;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
