;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;409
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;404
3;Коллегиальные органы управления;318
4;в том числе:       общее собрание;253
5;педагогический совет;291
6;попечительский совет;36
7;управляющий совет;147
8;наблюдательный совет;32
9;другие;18
10;Советы обучающихся;215
11;Советы родителей;238
12;Профессиональные союзы работников;292
13;из строки 03 с участием общественности (родителей, работодателей);191
14;Организация реализует профориентационный минимум;328
15;в том числе:       на базовом уровне;2
16;на основном уровне;296
17;на продвинутом уровне;30
