;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);97039;12027;;21646;;3829;
2;Образовательные программы начального общего образования;39244;81;1;8525;;944;
3;из них адаптированные;1994;14;;276;;108;
4;в том числе:           для глухих;17;;;;;;
5;для слабослышащих и позднооглохших;37;;;4;;;
6;для слепых;;;;;;;
7;для слабовидящих;41;2;;6;;2;
8;с тяжелыми нарушениями речи;601;5;;79;;25;
9;с нарушениями опорно-двигательного аппарата;71;;;10;;4;
10;с задержкой психического развития;1094;6;;164;;65;
11;с расстройствами аутистического спектра;133;1;;13;;12;
12;Образовательные программы основного общего образования;49361;10508;51;11098;;2095;
13;из них адаптированные;1730;151;1;235;;126;
14;в том числе:           для глухих;23;;;1;;;
15;для слабослышащих и позднооглохших;46;12;;7;;5;
16;для слепых;2;;;;;1;
17;для слабовидящих;39;3;;2;;1;
18;с тяжелыми нарушениями речи;62;3;;3;;4;
19;с нарушениями опорно-двигательного аппарата;43;4;;8;;8;
20;с задержкой психического развития;1485;128;1;210;;103;
21;с расстройствами аутистического спектра;30;1;;4;;4;
22;Образовательные программы среднего общего образования;7454;1426;43;1938;;731;
23;из них адаптированные;7;;;6;;4;
24;в том числе:           для глухих;;;;;;;
25;для слабослышащих и позднооглохших;2;;;2;;1;
26;для слепых;1;;;1;;1;
27;для слабовидящих;1;;;;;;
28;с тяжелыми нарушениями речи;;;;;;;
29;с нарушениями опорно-двигательного аппарата;1;;;1;;;
30;с задержкой психического развития;1;;;1;;1;
31;с расстройствами аутистического спектра;1;;;1;;1;
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);980;12;;85;;59;
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);11;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
35;основного общего образования (из строки 12);17;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;3;;;;;;
37;среднего общего образования (из строки 22);;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);12;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
