;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);7057;2284;3522;1010;12;154;5;70;402;6538;325;194
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;53;28;6;1;;5;1;12;2;53;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;20;7;2;1;;;;10;2;20;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;10;10;;;;;;;;10;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;5631;2191;3128;216;12;52;;32;;5631;;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;111;48;52;11;;;;;;111;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;8;5;3;;;;;;;8;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;234;;54;149;;31;;;16;223;11;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;182;;17;159;;3;3;;;182;;
10;в связи с переходом на семейное образование и самообразование;257;48;156;50;;;;3;4;251;4;2
11;по болезни;7;1;;1;;4;;1;1;7;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;28;;17;11;;;;;1;25;3;
13;выбыло по другим причинам;665;16;144;423;;59;1;22;378;166;307;192
