;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;377
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;369
3;Коллегиальные органы управления;347
4;в том числе:       общее собрание;306
5;педагогический совет;343
6;попечительский совет;47
7;управляющий совет;118
8;наблюдательный совет;30
9;другие;101
10;Советы обучающихся;317
11;Советы родителей;328
12;Профессиональные союзы работников;329
13;из строки 03 с участием общественности (родителей, работодателей);257
14;Организация реализует профориентационный минимум;328
15;в том числе:       на базовом уровне;237
16;на основном уровне;81
17;на продвинутом уровне;30
