;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;1211
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;1189
3;Коллегиальные органы управления;1189
4;в том числе:       общее собрание;943
5;педагогический совет;1174
6;попечительский совет;229
7;управляющий совет;626
8;наблюдательный совет;62
9;другие;271
10;Советы обучающихся;944
11;Советы родителей;891
12;Профессиональные союзы работников;1079
13;из строки 03 с участием общественности (родителей, работодателей);821
14;Организация реализует профориентационный минимум;1122
15;в том числе:       на базовом уровне;314
16;на основном уровне;744
17;на продвинутом уровне;69
