;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10, 13);Численность обучающихся по программам начального общего образования – всего;Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-го класса или 1-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам основного общего образования – всего;Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-го класса или 5-го класса первого года обучения  по пролонги- рованным программам;Численность обучающихся по программам среднего общего образования – всего;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-го класса  или 10-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями);Численность обучающихся по программам из графы 13 девочки;Численность обучающихся по программам из графы 13 обучающиеся первого года обучения;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 17) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;5730;1450;473;294;1034;363;177;64;30;25;3182;1039;236;54;5;3;
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;;;;;;;;;
3;6 лет;28;24;5;20;;;;;;;4;2;3;;;;
4;7 лет;216;166;64;141;;;;;;;50;19;35;;;;
5;8 лет;487;283;91;97;;;;;;;204;60;122;;;;
6;9 лет;524;284;88;24;;;;;;;240;85;51;1;;;
7;10 лет;563;302;106;7;;;;;;;261;86;19;1;2;2;
8;11 лет;580;259;82;3;23;10;20;;;;298;89;4;3;;;
9;12 лет;543;99;29;2;141;45;100;;;;303;105;1;;1;1;
10;13 лет;512;24;4;;161;59;44;;;;327;109;1;1;1;;
11;14 лет;566;6;3;;189;58;10;;;;371;114;;3;;;
12;15 лет;603;2;1;;228;80;2;;;;373;126;;1;;;
13;16 лет;465;1;;;135;54;1;1;;;328;110;;3;1;;
14;17 лет;338;;;;90;34;;11;4;9;237;67;;1;;;
15;18 лет;181;;;;41;14;;17;8;6;123;47;;6;;;
16;19 лет;62;;;;18;5;;11;4;7;33;13;;9;;;
17;20 лет;36;;;;6;3;;10;6;3;20;2;;12;;;
18;21 год;14;;;;2;1;;9;5;;3;1;;8;;;
19;22 года;5;;;;;;;2;2;;3;1;;2;;;
20;23 года;2;;;;;;;2;;;;;;2;;;
21;24 года;;;;;;;;;;;;;;;;;
22;25 лет;;;;;;;;;;;;;;;;;
23;26 лет;1;;;;;;;1;1;;;;;1;;;
24;27 лет;;;;;;;;;;;;;;;;;
25;28 лет;;;;;;;;;;;;;;;;;
26;29 лет;;;;;;;;;;;;;;;;;
27;30–34 года;;;;;;;;;;;;;;;;;
28;35–39 лет;;;;;;;;;;;;;;;;;
29;40 лет и старше;4;;;;;;;;;;4;3;;;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
