;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;1747;116;147;176;201;168;208;217;224;197;47;46;;;;;;;;
2;В них обучающихся (всего), чел.;41443;2708;3594;4418;5036;4064;4939;5203;4998;4483;1010;990;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;29;1;;1;2;3;3;9;5;3;2;;;;1;16;6;29;;
4;слабослышащие;40;3;3;6;3;3;5;7;3;5;;2;;;3;32;;40;;
5;позднооглохшие;2;;;;1;;;;1;;;;;;;2;;2;;
6;слепые;1;;;;;;1;;;;;;;;;1;;1;;
7;слабовидящие;94;5;8;10;11;10;11;9;10;9;4;7;;;7;62;;94;;
8;с тяжелыми нарушениями речи;38;4;4;3;5;3;2;6;6;5;;;;;3;18;;37;1;
9;с нарушением опорно-двигательного аппарата;211;16;27;24;25;21;26;24;15;17;7;9;;;16;165;8;211;;
10;с задержкой психического развития;873;47;68;91;129;84;92;124;100;126;10;2;;;38;153;18;873;;
11;с умственной отсталостью (интеллектуальными          нарушениями);471;29;31;31;34;40;69;74;83;77;3;;;;23;215;;471;;
12;с расстройствами аутистического спектра;195;21;18;23;32;21;17;21;25;15;1;1;;;7;158;2;195;;
13;со сложными дефектами;14;1;2;;3;2;4;;1;1;;;;;3;11;;14;;
14;с иными ограниченными возможностями          здоровья;568;31;33;59;59;48;77;59;63;74;31;34;;;38;440;;568;;
