;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;268
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;265
3;Коллегиальные органы управления;268
4;в том числе:       общее собрание;268
5;педагогический совет;268
6;попечительский совет;27
7;управляющий совет;259
8;наблюдательный совет;10
9;другие;19
10;Советы обучающихся;241
11;Советы родителей;248
12;Профессиональные союзы работников;267
13;из строки 03 с участием общественности (родителей, работодателей);208
14;Организация реализует профориентационный минимум;234
15;в том числе:       на базовом уровне;210
16;на основном уровне;37
17;на продвинутом уровне;12
