;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателя;Всего  (сумма гр. 4–10);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из гр. 3 – лица в возрасте 18 лет и старше
1;Выбыло обучающихся – всего (сумма стр. 02, 05, 08–13);15463;578;4261;10566;;;58;;8437
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;271;8;79;184;;;;;181
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;128;;37;91;;;;;106
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;2301;487;915;899;;;;;419
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;112;10;64;38;;;;;16
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;5;1;;4;;;;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;815;1;164;650;;;;;198
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;492;;117;375;;;;;197
10;в связи с переходом на семейное образование и самообразование;153;;57;96;;;;;29
11;по болезни;58;;12;46;;;;;37
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;780;;162;618;;;;;416
13;выбыло по другим причинам;10593;82;2755;7698;;;58;;6960
14;Численность обучающихся на начало прошлого учебного года (по состоянию на 20 сентября);49805;;;;;;;;
