;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателя;Всего  (сумма гр. 4–10);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из гр. 3 – лица в возрасте 18 лет и старше
1;Выбыло обучающихся – всего (сумма стр. 02, 05, 08–13);33445;474;9108;23785;4;21;50;3;19156
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;1246;24;259;963;;;;;81
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;166;11;101;54;;;;;69
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;1;;1;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;3374;303;1380;1669;4;12;5;1;951
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;143;;87;56;;;;;29
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;1;;1;;;;;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;1512;;355;1135;;;22;;455
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;757;;110;644;;1;2;;286
10;в связи с переходом на семейное образование и самообразование;269;1;155;113;;;;;22
11;по болезни;105;2;32;71;;;;;79
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;1784;2;581;1195;;3;3;;838
13;выбыло по другим причинам;24398;142;6236;17995;;5;18;2;16444
14;Численность обучающихся на начало прошлого учебного года (по состоянию на 20 сентября);95134;;;;;;;;
