;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;2654;262;289;320;329;271;292;288;287;277;17;17;2;3;;;;;;
2;В них обучающихся (всего), чел.;53980;5896;6231;6991;6819;5386;5980;5544;5469;5185;220;254;2;3;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;;;;;;;;;;;;;;;;;;;;
4;слабослышащие;29;1;4;2;5;6;2;3;5;;;1;;;;25;;29;;
5;позднооглохшие;5;1;1;;1;;1;;;1;;;;;;4;1;5;;
6;слепые;5;;2;;;1;1;;;;1;;;;;5;;5;;
7;слабовидящие;70;5;11;18;12;5;4;6;3;5;;1;;;;48;;70;;
8;с тяжелыми нарушениями речи;950;216;208;227;139;58;48;26;15;12;;1;;;;51;;950;;
9;с нарушением опорно-двигательного аппарата;134;17;18;21;18;12;7;11;13;9;2;5;1;;1;122;8;134;;
10;с задержкой психического развития;3118;163;221;331;385;330;416;424;419;428;1;;;;1;202;;3118;;
11;с умственной отсталостью (интеллектуальными          нарушениями);542;21;36;27;69;77;73;78;73;63;10;11;1;3;8;306;;542;;
12;с расстройствами аутистического спектра;146;53;18;15;15;9;13;8;6;5;3;1;;;1;122;7;146;;
13;со сложными дефектами;4;;;;;2;;1;;1;;;;;;4;2;4;;
14;с иными ограниченными возможностями          здоровья;9;;;1;1;2;;2;1;1;1;;;;;6;;8;;1
