;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);6517;2482;3069;824;51;53;;38;360;6159;290;68
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;81;50;17;1;8;4;;1;;81;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;19;10;8;;;;;1;;19;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;33;27;6;;;;;;;33;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;5583;2338;2903;225;39;47;;31;7;5576;1;6
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;143;44;86;10;1;1;;1;;142;1;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;59;33;25;1;;;;;;59;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;119;;1;118;;;;;4;115;4;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;124;;;124;;;;;;124;;
10;в связи с переходом на семейное образование и самообразование;231;92;107;25;4;1;;2;1;230;;1
11;по болезни;;;;;;;;;;;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;10;;4;6;;;;;1;10;;
13;выбыло по другим причинам;369;2;37;325;;1;;4;347;23;285;61
