;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;387
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;382
3;Коллегиальные органы управления;382
4;в том числе:       общее собрание;352
5;педагогический совет;382
6;попечительский совет;50
7;управляющий совет;130
8;наблюдательный совет;9
9;другие;77
10;Советы обучающихся;375
11;Советы родителей;377
12;Профессиональные союзы работников;291
13;из строки 03 с участием общественности (родителей, работодателей);377
14;Организация реализует профориентационный минимум;370
15;в том числе:       на базовом уровне;50
16;на основном уровне;257
17;на продвинутом уровне;63
