;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);7665;3072;3628;844;46;26;;49;137;7587;69;9
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;71;35;22;4;8;2;;;;70;;1
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;41;19;17;3;;2;;;;40;;1
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;30;23;7;;;;;;;30;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;6854;2958;3440;370;38;23;;25;72;6849;1;4
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;27;8;8;1;5;4;;1;;27;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;;;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;298;;10;288;;;;;16;287;11;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;89;;7;82;;;;;5;69;20;
10;в связи с переходом на семейное образование и самообразование;91;21;37;17;;1;;15;2;86;2;3
11;по болезни;3;;;;;;;3;1;3;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;17;;10;7;;;;;2;15;2;
13;выбыло по другим причинам;242;58;102;76;;;;6;39;208;33;1
