;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10, 13);Численность обучающихся по программам начального общего образования – всего;Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-го класса или 1-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам основного общего образования – всего;Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-го класса или 5-го класса первого года обучения  по пролонги- рованным программам;Численность обучающихся по программам среднего общего образования – всего;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-го класса  или 10-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями);Численность обучающихся по программам из графы 13 девочки;Численность обучающихся по программам из графы 13 обучающиеся первого года обучения;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 17) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;2524;783;268;195;719;245;136;;;;1022;365;43;;4;;
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;;;;;;;;;
3;6 лет;;;;;;;;;;;;;;;;;
4;7 лет;81;72;25;68;;;;;;;9;5;7;;;;
5;8 лет;197;143;49;89;;;;;;;54;23;24;;;;
6;9 лет;268;193;58;28;1;;1;;;;74;22;11;;1;;
7;10 лет;287;183;66;8;5;2;3;;;;99;23;1;;;;
8;11 лет;291;129;46;1;60;22;53;;;;102;35;;;1;;
9;12 лет;281;53;20;;113;39;56;;;;115;38;;;2;;
10;13 лет;286;6;2;;145;46;18;;;;135;44;;;;;
11;14 лет;272;2;1;;159;47;3;;;;111;41;;;;;
12;15 лет;281;1;1;;150;54;2;;;;130;50;;;;;
13;16 лет;176;1;;1;73;31;;;;;102;39;;;;;
14;17 лет;61;;;;13;4;;;;;48;22;;;;;
15;18 лет;22;;;;;;;;;;22;11;;;;;
16;19 лет;17;;;;;;;;;;17;11;;;;;
17;20 лет;1;;;;;;;;;;1;1;;;;;
18;21 год;2;;;;;;;;;;2;;;;;;
19;22 года;;;;;;;;;;;;;;;;;
20;23 года;1;;;;;;;;;;1;;;;;;
21;24 года;;;;;;;;;;;;;;;;;
22;25 лет;;;;;;;;;;;;;;;;;
23;26 лет;;;;;;;;;;;;;;;;;
24;27 лет;;;;;;;;;;;;;;;;;
25;28 лет;;;;;;;;;;;;;;;;;
26;29 лет;;;;;;;;;;;;;;;;;
27;30–34 года;;;;;;;;;;;;;;;;;
28;35–39 лет;;;;;;;;;;;;;;;;;
29;40 лет и старше;;;;;;;;;;;;;;;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
