;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;1408;168;161;175;192;137;133;128;138;141;16;18;1;;;;;;;
2;В них обучающихся (всего), чел.;31406;3696;3637;3978;4520;3029;2915;2788;3103;3054;335;344;7;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;3;2;;;1;;;;;;;;;;;3;;3;;
4;слабослышащие;27;7;3;3;2;1;4;3;2;1;1;;;;;17;;27;;
5;позднооглохшие;4;;;;1;;1;1;;1;;;;;;1;;4;;
6;слепые;2;;;1;1;;;;;;;;;;;2;;2;;
7;слабовидящие;54;5;5;6;8;8;8;8;1;4;;1;;;;35;;54;;
8;с тяжелыми нарушениями речи;507;143;134;91;65;32;14;11;7;10;;;;;;31;;507;;
9;с нарушением опорно-двигательного аппарата;123;11;8;9;15;14;14;9;22;8;5;8;;;;113;;123;;
10;с задержкой психического развития;1629;133;169;204;244;138;169;177;189;202;3;1;;;;105;;1629;;
11;с умственной отсталостью (интеллектуальными          нарушениями);172;14;10;7;18;18;23;24;22;22;8;5;1;;7;96;;172;;
12;с расстройствами аутистического спектра;63;19;9;7;5;7;7;7;;1;;1;;;;54;1;63;;
13;со сложными дефектами;;;;;;;;;;;;;;;;;;;;
14;с иными ограниченными возможностями          здоровья;86;3;7;10;8;9;9;4;11;13;7;5;;;;73;;86;;
