;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;127
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;122
3;Коллегиальные органы управления;127
4;в том числе:       общее собрание;111
5;педагогический совет;127
6;попечительский совет;12
7;управляющий совет;92
8;наблюдательный совет;24
9;другие;27
10;Советы обучающихся;106
11;Советы родителей;108
12;Профессиональные союзы работников;112
13;из строки 03 с участием общественности (родителей, работодателей);98
14;Организация реализует профориентационный минимум;110
15;в том числе:       на базовом уровне;28
16;на основном уровне;56
17;на продвинутом уровне;27
