;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;649
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;609
3;Коллегиальные органы управления;648
4;в том числе:       общее собрание;505
5;педагогический совет;645
6;попечительский совет;71
7;управляющий совет;452
8;наблюдательный совет;47
9;другие;86
10;Советы обучающихся;522
11;Советы родителей;501
12;Профессиональные союзы работников;552
13;из строки 03 с участием общественности (родителей, работодателей);438
14;Организация реализует профориентационный минимум;484
15;в том числе:       на базовом уровне;145
16;на основном уровне;276
17;на продвинутом уровне;89
