;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;146
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;144
3;Коллегиальные органы управления;140
4;в том числе:       общее собрание;94
5;педагогический совет;140
6;попечительский совет;38
7;управляющий совет;116
8;наблюдательный совет;12
9;другие;19
10;Советы обучающихся;105
11;Советы родителей;129
12;Профессиональные союзы работников;109
13;из строки 03 с участием общественности (родителей, работодателей);79
14;Организация реализует профориентационный минимум;101
15;в том числе:       на базовом уровне;78
16;на основном уровне;31
17;на продвинутом уровне;7
