;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;151;14;12;17;16;13;15;17;20;23;3;1;;;;;;;;
2;В них обучающихся (всего), чел.;2366;213;174;291;228;200;237;303;340;344;27;9;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;1;1;;;;;;;;;;;;;;1;;1;;
4;слабослышащие;2;;;;;1;;;1;;;;;;;2;;2;;
5;позднооглохшие;;;;;;;;;;;;;;;;;;;;
6;слепые;;;;;;;;;;;;;;;;;;;;
7;слабовидящие;2;;;;;;;;1;1;;;;;;2;;2;;
8;с тяжелыми нарушениями речи;;;;;;;;;;;;;;;;;;;;
9;с нарушением опорно-двигательного аппарата;6;1;;1;;;;1;;3;;;;;;3;;6;;
10;с задержкой психического развития;163;9;10;21;17;16;18;15;24;32;1;;;;2;12;;163;;
11;с умственной отсталостью (интеллектуальными          нарушениями);46;2;3;3;4;5;2;11;7;9;;;;;;11;;46;;
12;с расстройствами аутистического спектра;8;2;1;1;;;1;2;;;1;;;;;5;;8;;
13;со сложными дефектами;1;;;;;;1;;;;;;;;;1;;1;;
14;с иными ограниченными возможностями          здоровья;24;6;2;;1;1;2;2;6;2;1;1;;;;18;;23;1;
