;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;42
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;40
3;Коллегиальные органы управления;42
4;в том числе:       общее собрание;34
5;педагогический совет;42
6;попечительский совет;1
7;управляющий совет;17
8;наблюдательный совет;4
9;другие;15
10;Советы обучающихся;26
11;Советы родителей;31
12;Профессиональные союзы работников;3
13;из строки 03 с участием общественности (родителей, работодателей);21
14;Организация реализует профориентационный минимум;33
15;в том числе:       на базовом уровне;33
16;на основном уровне;13
17;на продвинутом уровне;1
