;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;458
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;458
3;Коллегиальные органы управления;449
4;в том числе:       общее собрание;447
5;педагогический совет;449
6;попечительский совет;13
7;управляющий совет;186
8;наблюдательный совет;181
9;другие;10
10;Советы обучающихся;443
11;Советы родителей;447
12;Профессиональные союзы работников;415
13;из строки 03 с участием общественности (родителей, работодателей);442
14;Организация реализует профориентационный минимум;408
15;в том числе:       на базовом уровне;27
16;на основном уровне;297
17;на продвинутом уровне;84
