;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;5135;543;573;624;640;527;561;535;540;549;21;22;;;;;;;;
2;В них обучающихся (всего), чел.;121863;13499;14058;15353;15509;12257;13204;12112;12301;12189;724;656;1;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;3;;;;;;3;;;;;;;;;2;;3;;
4;слабослышащие;112;11;19;20;11;10;13;11;6;9;1;1;;;;76;1;112;;
5;позднооглохшие;5;1;1;;2;;1;;;;;;;;;5;;5;;
6;слепые;2;;;;;;;1;;1;;;;;;2;;2;;
7;слабовидящие;177;16;12;14;16;19;20;23;27;25;1;4;;;;104;2;177;;
8;с тяжелыми нарушениями речи;1468;397;390;286;214;65;45;38;21;10;1;1;;;1;279;;1468;;
9;с нарушением опорно-двигательного аппарата;434;61;45;64;47;40;35;42;32;38;14;16;;;;373;15;434;;
10;с задержкой психического развития;4370;386;439;521;637;411;521;454;505;496;;;;;;393;;4370;;
11;с умственной отсталостью (интеллектуальными          нарушениями);2469;63;98;211;273;338;353;360;357;414;2;;;;21;981;;2469;;
12;с расстройствами аутистического спектра;184;46;24;24;24;20;9;8;11;18;;;;;;153;17;184;;
13;со сложными дефектами;71;8;7;7;5;5;12;4;7;16;;;;;3;67;7;71;;
14;с иными ограниченными возможностями          здоровья;29;;1;1;3;3;5;3;2;4;5;2;;;;27;;29;;
