;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);17501;6483;7797;2906;170;9;;136;326;16606;610;285
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;68;39;8;1;18;2;;;;68;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;15;10;3;;1;1;;;;15;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;3;3;;;;;;;;3;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;14023;6272;6742;744;150;6;;109;8;14022;1;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;281;110;155;11;1;;;4;;281;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;123;50;71;2;;;;;1;123;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;963;;50;913;;;;;27;736;204;23
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;496;;30;466;;;;;36;423;64;9
10;в связи с переходом на семейное образование и самообразование;725;163;438;122;1;;;1;6;703;22;
11;по болезни;2;;1;1;;;;;1;2;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;400;;312;88;;;;;22;368;32;
13;выбыло по другим причинам;824;9;216;571;1;1;;26;226;284;287;253
