;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;230;20;25;26;29;22;24;26;24;30;4;;;;;;;;;
2;В них обучающихся (всего), чел.;4066;355;481;492;523;407;463;450;386;445;64;;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;;;;;;;;;;;;;;;;;;;;
4;слабослышащие;6;1;1;;;2;1;1;;;;;;;;2;;6;;
5;позднооглохшие;;;;;;;;;;;;;;;;;;;;
6;слепые;1;;;;1;;;;;;;;;;1;;;;;1
7;слабовидящие;5;;;2;;;1;2;;;;;;;;1;;4;1;
8;с тяжелыми нарушениями речи;122;24;22;19;26;7;11;11;1;1;;;;;;2;;122;;
9;с нарушением опорно-двигательного аппарата;10;3;;2;;2;;1;1;1;;;;;;9;;10;;
10;с задержкой психического развития;412;15;40;48;56;28;47;53;57;64;4;;;;;13;;412;;
11;с умственной отсталостью (интеллектуальными          нарушениями);4;;;;3;;;;1;;;;;;;3;;4;;
12;с расстройствами аутистического спектра;3;3;;;;;;;;;;;;;;2;1;3;;
13;со сложными дефектами;;;;;;;;;;;;;;;;;;;;
14;с иными ограниченными возможностями          здоровья;16;1;2;1;2;4;1;2;;1;2;;;;;15;;15;1;
