;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;30
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;29
3;Коллегиальные органы управления;30
4;в том числе:       общее собрание;30
5;педагогический совет;30
6;попечительский совет;1
7;управляющий совет;7
8;наблюдательный совет;1
9;другие;5
10;Советы обучающихся;22
11;Советы родителей;24
12;Профессиональные союзы работников;
13;из строки 03 с участием общественности (родителей, работодателей);11
14;Организация реализует профориентационный минимум;23
15;в том числе:       на базовом уровне;9
16;на основном уровне;14
17;на продвинутом уровне;
