;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);491;166;216;75;17;16;;1;8;488;2;1
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;18;8;5;2;;3;;;;18;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;;;;;;;;;;;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;4;4;;;;;;;;4;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;391;148;194;20;16;12;;1;;391;;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;;;;;;;;;;;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;4;2;2;;;;;;;4;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;30;;;30;;;;;;30;;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;14;;;14;;;;;;14;;
10;в связи с переходом на семейное образование и самообразование;17;8;6;2;;1;;;1;15;1;1
11;по болезни;;;;;;;;;;;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;5;;3;2;;;;;2;5;;
13;выбыло по другим причинам;16;2;8;5;1;;;;5;15;1;
