;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;835
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;795
3;Коллегиальные органы управления;809
4;в том числе:       общее собрание;755
5;педагогический совет;802
6;попечительский совет;87
7;управляющий совет;164
8;наблюдательный совет;163
9;другие;234
10;Советы обучающихся;707
11;Советы родителей;713
12;Профессиональные союзы работников;617
13;из строки 03 с участием общественности (родителей, работодателей);678
14;Организация реализует профориентационный минимум;794
15;в том числе:       на базовом уровне;277
16;на основном уровне;450
17;на продвинутом уровне;83
