;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;2943;310;270;320;367;301;357;345;335;320;8;10;;;;;;;;
2;В них обучающихся (всего), чел.;60637;6482;5817;6921;7880;6106;7523;6698;6563;6264;172;211;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;2;;;1;1;;;;;;;;;;;1;;2;;
4;слабослышащие;62;9;8;3;8;7;3;8;7;8;1;;;;;54;1;62;;
5;позднооглохшие;5;2;3;;;;;;;;;;;;;4;;5;;
6;слепые;3;;;;2;;;;1;;;;;;;3;3;3;;
7;слабовидящие;69;7;11;10;3;8;6;3;10;7;2;2;;;;51;2;69;;
8;с тяжелыми нарушениями речи;142;28;27;25;23;7;11;8;7;6;;;;;;24;;141;1;
9;с нарушением опорно-двигательного аппарата;291;50;26;44;27;32;32;28;21;22;2;7;;;1;270;18;290;1;
10;с задержкой психического развития;2577;179;206;232;333;258;330;331;355;349;2;2;;;;166;5;2576;1;
11;с умственной отсталостью (интеллектуальными          нарушениями);807;46;44;59;93;86;114;119;116;128;1;1;;;9;262;;806;1;
12;с расстройствами аутистического спектра;326;113;36;43;42;29;23;23;10;7;;;;;;241;29;326;;
13;со сложными дефектами;4;2;;;;;1;1;;;;;;;;4;4;4;;
14;с иными ограниченными возможностями          здоровья;;;;;;;;;;;;;;;;;;;;
